,Mosfet 2V,Mosfet 3V,Mosfet 5V,Mosfet -3V,,
Circuit Voltage (V),Curcuit Current (mA),Circuit Current (mA),Circuit Current (mA),Circuit Current (mA),,
0,0,0,0,5.08300000000000,,
0.500000000000000,0,0,0,5.37600000000000,,
1,0.00300000000000000,0.00300000000000000,0.00300000000000000,5.79000000000000,,
1.50000000000000,3.71800000000000,4.02500000000000,4.24300000000000,6.19800000000000,,
2,4.22100000000000,6.32600000000000,10.5430000000000,6.33100000000000,,
2.50000000000000,4.23600000000000,6.35000000000000,10.5860000000000,6.35100000000000,,
3,4.24100000000000,6.35700000000000,10.6000000000000,6.35700000000000,,
3.50000000000000,4.24300000000000,6.36100000000000,10.6070000000000,6.36100000000000,,
4,4.24500000000000,6.36300000000000,10.6110000000000,6.36400000000000,,
4.50000000000000,4.24600000000000,6.36500000000000,10.6140000000000,6.36500000000000,,
5,4.24700000000000,6.36900000000000,10.6160000000000,6.36600000000000,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,